Algae,Time_post_infection,mean,down,up
SSB01,1,0.6048902110392825,0.52279852374967,0.6814642816536721
M. gaditana,1,0.8515908697350141,0.7829062852570814,0.9012848422952977
N. oculata,1,0.3569501201943129,0.29850387712137433,0.4199886383458069
C. velia,1,0.4053451398944459,0.3446017992424318,0.4691315348403782
SSB01,2,0.6509316086102203,0.5812861095882502,0.7146789118724395
M. gaditana,2,0.5299903354383687,0.4585931727256743,0.600180808184712
N. oculata,2,0.05236138521862371,0.02748988017711904,0.09747986887304447
C. velia,2,0.41216768060880826,0.3492928587158185,0.4780456301588538
SSB01,3,0.7256502038888282,0.6490154408968499,0.7909421884119304
M. gaditana,3,0.3413348229633187,0.2774171424807952,0.4115907686384952
N. oculata,3,0.020656918818979946,0.008029030263531104,0.05210250566822789
C. velia,3,0.33856830495092255,0.2803750164630863,0.40209114017396574
SSB01,6,0.6751986113018258,0.6087916791511363,0.7352354941999568
M. gaditana,6,0.15044516242171935,0.10066029239289383,0.21886066303570706
N. oculata,6,0.017255421817776968,0.006607804286620825,0.04429525072464853
C. velia,6,0.36407971166059205,0.30695916061715733,0.4253065501425815
SSB01,10,0.6912330126065507,0.6251282979553087,0.7503363717528188
M. gaditana,10,0.037186743972729606,0.01799961685355696,0.07525936086087834
N. oculata,10,0.006568242228670394,0.0017481935174495965,0.024353715976316574
C. velia,10,0.10372238887021579,0.07088717510384797,0.14932261818129783
